year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2026,"Effect of transition metal elements (TM＝Zn, Cu, Ni) on phase stability of LPSO phases and experimental verification of occupancy positions of TM atoms in Mg-Co-Y based alloys",Koya Iwase; Yuto HANDA; Ryosuke Yamagata; Toshiaki Horiuchi; Seiji MIURA; Takaomi Itoi,Journal of Japan Institute of Light Metals,76,4,182-188,10.2464/jilm.76.182,article,0,https://doi.org/10.2464/jilm.76.182,W7161121207,所属確認済み（北海道大学）
2026,多元系合金の組織制御 【HK-303_JXA-8530F】,Seiji Miura,ARIM Data Portal,,,,10.71947/arim.jpmxp1223hk0118,dataset,0,https://doi.org/10.71947/arim.jpmxp1223hk0118,W7155360007,所属確認済み（北海道大学）
2025,Effect of Porosity on High Temperature Compressive Behavior of Textured Ti3SiC2 Bodies Prepared by Pressureless Sintering,Eiichi Sei; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,MATERIALS TRANSACTIONS,66,8,1006-1013,10.2320/matertrans.mt-m2025063,article,0,https://www.jstage.jst.go.jp/article/matertrans/66/8/66_MT-M2025063/_pdf,W4412619513,所属確認済み（北海道大学）
2025,Effect of hot rolling temperature on microstructure formation during annealing of hot-rolled Al-1%Mn alloy,Ken‐ichi Ikeda; Kazuha YAMASE; Seiji Miura; Hiroshi IMOTO; Kaoru Sato,Journal of Japan Institute of Light Metals,75,3,130-136,10.2464/jilm.75.130,article,0,https://www.jstage.jst.go.jp/article/jilm/75/3/75_7503-T01/_pdf,W4409424113,所属確認済み（北海道大学）
2025,Orientation Dependence of High-temperature Compressive Behavior in Ti3SiC2-MAX Phase Ceramics,Eiichi Sei; Ken-ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Materia Japan,65,1,25-25,10.2320/materia.65.25,article,0,,W7117867764,所属確認済み（北海道大学）
2024,Effect of Porosity on High Temperature Compressive Behavior of Textured Ti3SiC2 Bodies Prepared by Pressureless Sintering,Eiichi Sei; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Journal of the Japan Institute of Metals and Materials,88,11,297-305,10.2320/jinstmet.j202406,article,0,https://www.jstage.jst.go.jp/article/jinstmet/88/11/88_J202406/_pdf,W4403715551,所属確認済み（北海道大学）
2024,"Fabrication of Textured Ti2AlC-MAX Phase Ceramic by Slip Casting under Strong Magnetic Field and Spark Plasma Sintering, and Its Crystal Orientation Dependence of Room Temperature Deformation Behavior",Johtaro MURAOKA; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Journal of the Japan Society of Powder and Powder Metallurgy,71,7,257-262,10.2497/jjspm.23-00076,article,0,https://www.jstage.jst.go.jp/article/jjspm/advpub/0/advpub_23-00076/_pdf,W4394586257,所属確認済み（北海道大学）
2024,Orientation Dependence of High Temperature Compressive Behavior of Textured Ti3SiC2,Yuji Shirakami; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Journal of the Japan Institute of Metals and Materials,88,7,129-136,10.2320/jinstmet.j2023035,article,1,https://www.jstage.jst.go.jp/article/jinstmet/88/7/88_J2023035/_pdf,W4395471387,所属確認済み（北海道大学）
2023,Orientation Dependence of High Temperature Compressive Behavior of Textured Ti3SiC2,Yuji Shirakami; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,MATERIALS TRANSACTIONS,64,4,805-812,10.2320/matertrans.mt-md2022012,article,8,https://www.jstage.jst.go.jp/article/matertrans/64/4/64_MT-MD2022012/_pdf,W4318186668,所属確認済み（北海道大学）
2023,Phase equilibrium studies of Mo-Y2O3-ZrO2-Zr at 1200 ℃ for developing Y-Zr-O complex oxide dispersion-strengthened Mo alloys,Liying Yao; Seiji Miura; Ken‐ichi Ikeda,Journal of Alloys and Compounds,965,,171505-171505,10.1016/j.jallcom.2023.171505,article,3,,W4385076771,所属確認済み（北海道大学）
2023,The oxidation mechanism of nanostructured Y-Zr-O complex oxide dispersion-strengthened Mo alloys,Liying Yao; Seiji Miura; Ken‐ichi Ikeda; Yimin Gao; Yefei Li,Journal of Alloys and Compounds,968,,172204-172204,10.1016/j.jallcom.2023.172204,article,9,,W4386759761,所属確認済み（北海道大学）
2022,Kink Formation through Creep Deformation and Possibility of Kink Strengthening in Ti3SiC2 MAX Phase,Daiki Matsui; Koji Morita; Daisuke Terada; Ken‐ichi Ikeda; Seiji Miura,MATERIALS TRANSACTIONS,63,7,1055-1064,10.2320/matertrans.mt-m2021255,article,9,https://www.jstage.jst.go.jp/article/matertrans/63/7/63_MT-M2021255/_pdf,W4283447273,所属確認済み（北海道大学）
2022,Orientation Dependence of Plastic Deformation Behavior and Fracture Energy Absorption Mechanism around Vickers Indentation of Textured Ti3SiC2 Sintered Body,Yuji Shirakami; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,MATERIALS TRANSACTIONS,64,3,650-656,10.2320/matertrans.mt-y2022006,article,5,https://www.jstage.jst.go.jp/article/matertrans/64/3/64_MT-Y2022006/_pdf,W4312698200,所属確認済み（北海道大学）
2021,Deformation Behavior of Nb2Co7 Under Uniaxial Compression Test,Toshiaki Horiuchi; Konatsu Yamada; Ken‐ichi Ikeda; Seiji Miura; Frank Stein,,,,,,article,0,,W3199700528,所属確認済み（北海道大学）
2021,Evaluation of Hardness before and after Compression Test of Nb2Co7 Single-phase Alloy by Nanoindentation Test,Masaki Yamaguchi; Toshiaki Horiuchi; Ken‐ichi Ikeda; Seiji Miura; Frank Stein,,,,,,article,0,,W3208167231,所属確認済み（北海道大学）
2021,Kink Formation through Creep Deformation and Possibility of Kink Strengthening in Ti3SiC2-MAX Phase,Daiki Matsui; Koji Morita; Daisuke Terada; Ken‐ichi Ikeda; Seiji Miura,Journal of the Japan Institute of Metals and Materials,85,12,439-448,10.2320/jinstmet.j2021031,article,5,https://www.jstage.jst.go.jp/article/jinstmet/85/12/85_J2021031/_pdf,W3217319433,所属確認済み（北海道大学）
2021,The effect of titanium and silicon addition on phase equilibrium and mechanical properties of CoCrFeMnNi-based high entropy alloy,Syuki Yamanaka; Ken‐ichi Ikeda; Seiji Miura,Journal of materials research/Pratt's guide to venture capital sources,36,10,2056-2070,10.1557/s43578-021-00251-0,article,28,https://link.springer.com/content/pdf/10.1557/s43578-021-00251-0.pdf,W3168881971,所属確認済み（北海道大学）
2020,Application of Modified Optical Indentation Microscopy as New In Situ Indentation Method,Takahiro Mineta; Seiji Miura; Kazuhiko Oka; Tatsuya Miyajima,Journal of the Japan Institute of Metals and Materials,84,4,128-134,10.2320/jinstmet.j2019051,article,2,https://www.jstage.jst.go.jp/article/jinstmet/84/4/84_J2019051/_pdf,W2921930896,所属確認済み（北海道大学）
2020,Effect of Metastable L12 Co3Nb on Microstructural Evolution in Co−3.9Nb Alloy,Toshiaki Horiuchi; Konatsu Yamada; Ken‐ichi Ikeda; Seiji Miura; Frank Stein,,,,,,article,0,,W3206796446,所属確認済み（北海道大学）
2020,Elastic isotropy originating from heterogeneous interlayer elastic deformation in a Ti3SiC2 MAX phase with a nanolayered crystal structure,Ruxia Liu; Masakazu Tane; Hajime Kimizuka; Yuji Shirakami; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka; Lianmeng Zhang; Tohru Sekino,Journal of the European Ceramic Society,41,4,2278-2289,10.1016/j.jeurceramsoc.2020.11.026,article,13,,W3098848935,所属確認済み（北海道大学）
2020,Formation of LPSO Phases in As-Cast Mg–Al–Zn–Gd Quaternary Alloys,Kazuki Masaoka; Tadayuki Yamada; Toshiaki Horiuchi; Takaomi Itoi; Seiji Miura,MATERIALS TRANSACTIONS,61,5,849-855,10.2320/matertrans.mt-mm2019008,article,2,https://www.jstage.jst.go.jp/article/matertrans/61/5/61_MT-MM2019008/_pdf,W3006197503,所属確認済み（北海道大学）
2020,Orientation Dependence of Plastic Deformation Behavior and Fracture Energy Absorption Mechanism around Vickers Indentation of Textured Ti3SiC2 Sintered Body,Yuji Shirakami; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Journal of the Japan Society of Powder and Powder Metallurgy,67,11,607-614,10.2497/jjspm.67.607,article,6,https://www.jstage.jst.go.jp/article/jjspm/67/11/67_607/_pdf,W3101203385,所属確認済み（北海道大学）
2020,PREFACE,Seiji Miura; Hidetoshi Somekawa,MATERIALS TRANSACTIONS,61,5,820-820,10.2320/matertrans.mpr2020902,article,0,,W4234075810,所属確認済み（北海道大学）
2019,Alloy Design Concept for the Development of Refractory Metal Based High Temperature Materials,Seiji Miura,Materia Japan,58,7,371-375,10.2320/materia.58.371,article,0,https://www.jstage.jst.go.jp/article/materia/58/7/58_371/_pdf,W2953917383,所属確認済み（北海道大学）
2019,Application of Modified Optical Indentation Microscopy as New In Situ Indentation Method,Takahiro Mineta; Seiji Miura; Kazuhiko Oka; Tatsuya Miyajima,MATERIALS TRANSACTIONS,60,8,1416-1422,10.2320/matertrans.md201904,article,6,https://www.jstage.jst.go.jp/article/matertrans/60/8/60_MD201904/_pdf,W4241364114,所属確認済み（北海道大学）
2019,Cr-Mo-Nb系におけるNbCr_2Laves相の安定性に及ぼすSiの影響【JST・京大機械翻訳】,Peng Li; Takizawa Satoshi; Ikeda Ken-ichi; Toshiaki Horiuchi; Seiji Miura,Intermetallics,110,,,,article,0,,W3173611813,北大の共同研究者（Ikeda/Horiuchi/Kashiwaya等）が一致
2019,Deformation behavior of Nb2Co7 as a promising candidate for a crystal-structure-dependent mille-feuille structured material,Toshiaki Horiuchi; Konatsu Yamada; Kazushi Ikeda; Seiji Miura; Frank Stein,Intermetallics,,,135-166,,article,0,,W2988172202,所属確認済み（北海道大学）
2019,Effect of Multi-Elements Substitution on the Mechanical Properties of Intermetallic Compound,Syuki Yamanaka; Ken‐ichi Ikeda; Seiji Miura,MRS Advances,4,25-26,1497-1502,10.1557/adv.2019.119,article,3,,W2913634296,所属確認済み（北海道大学）
2019,Effect of Si on the stability of NbCr2 Laves phase in Cr-Mo-Nb system,Peng Li; Satoshi Takizawa; Ken‐ichi Ikeda; Toshiaki Horiuchi; Seiji Miura,Intermetallics,110,,106457-106457,10.1016/j.intermet.2019.03.020,article,27,https://doi.org/10.1016/j.intermet.2019.03.020,W2937889967,所属確認済み（北海道大学）
2019,Formation of LPSO Phases in As-Cast Mg-Al-Zn-Gd Quaternary Alloys,Kazuki Masaoka; Tadayuki Yamada; Toshiaki Horiuchi; Takaomi Itoi; Seiji Miura,Journal of the Japan Institute of Metals and Materials,83,8,257-263,10.2320/jinstmet.jbw201807,article,0,https://www.jstage.jst.go.jp/article/jinstmet/83/8/83_JBW201807/_pdf,W2966094515,所属確認済み（北海道大学）
2019,Hardness Microstructure Evolution and Change during Isothermal Aging in Co-3.9at.%Nb Alloy,Konatsu Yamada; Toshiaki Horiuchi; Ken‐ichi Ikeda; Seiji Miura; Frank Stein,MPG.PuRe (Max Planck Society),,,,,article,0,,W3022831686,所属確認済み（北海道大学）
2019,Impact of crystal orientation on pop-in behavior of magnesium,Hidetoshi Somekawa; Tomohito Tsuru; Seiji Miura; Christopher A. Schuh,The Proceedings of the Materials and Mechanics Conference,2019,0,OS0711-OS0711,10.1299/jsmemm.2019.os0711,article,0,https://doi.org/10.1299/jsmemm.2019.os0711,W3028496831,所属確認済み（北海道大学）
2019,Investigation of the Cross-Sectional Structure and Isothermal Section at 1150°C of a Nb–Re–Si Alloy Fabricated Using a Tetra-Arc Furnace,Shigeru Saito; Toshiyuki Takashima; Toshiaki Horiuchi; Seiji Miura; Toshio Narita,MATERIALS TRANSACTIONS,60,4,611-615,10.2320/matertrans.m2018396,article,0,https://www.jstage.jst.go.jp/article/matertrans/60/4/60_M2018396/_pdf,W2963497728,所属確認済み（北海道大学）
2019,Nb2Co7 as a Promising Candidate for a Crystal-structure-dependent Mille-feuille Structured Material,Konatsu Yamada; Toshiaki Horiuchi; Ken‐ichi Ikeda; Seiji Miura; Frank Stein,,,,,,article,0,,W3021835467,所属確認済み（北海道大学）
2019,Nbを中心とした耐火金属高濃度固溶体基耐熱合金の開発と今後の展望,Seiji Miura,Institutional Repositories DataBase (IRDB),58,7,371-375,,article,0,https://hdl.handle.net/2115/88151,W7145472011,研究テーマ（Nb基耐熱合金）が三浦教授の専門と一致
2019,Phase equilibrium and mechanical properties of Cr-Mo-Nb-Si-B alloys Composed of BCC and T2-silicide phase,Daisuke Goto; Ken‐ichi Ikeda; Seiji Miura,MRS Advances,4,25-26,1491-1496,10.1557/adv.2019.110,article,1,,W2916682343,所属確認済み（北海道大学）
2019,Precipitation behavior of Nb2Co7 from Nb-supersaturated Co-solid solution in Co-rich Co–Nb binary alloys,Konatsu Yamada; Toshiaki Horiuchi; Seiji Miura; Frank Stein,Intermetallics,,,210-211,,article,0,,W2981805307,所属確認済み（北海道大学）
2018,Effect of Metastable L12-Co3Nb on Precipitation of Intermetallic Phases from Nb-Supersaturated Co Solid Solution in Co-rich Co-Nb Binary Alloys,Konatsu Yamada; Toshiaki Horiuchi; Frank Stein; Seiji Miura,,,,,,article,0,,W2895476198,所属確認済み（北海道大学）
2018,Laves Phase Precipitation Behavior and the Orientation Relationship with BCC in Cr–Mo–Nb System,Peng Li; Ken‐ichi Ikeda; Toshiaki Horiuchi; Seiji Miura,MATERIALS TRANSACTIONS,59,11,1706-1715,10.2320/matertrans.m2018160,article,7,https://www.jstage.jst.go.jp/article/matertrans/59/11/59_M2018160/_pdf,W2895313562,所属確認済み（北海道大学）
2018,Microstructural Evolution and Mechanical Properties of a Three-Phase Alloy in the Cr–Mo–Nb System,Peng Li; Ken‐ichi Ikeda; Toshiaki Horiuchi; Seiji Miura,MATERIALS TRANSACTIONS,60,2,246-253,10.2320/matertrans.m2018269,article,2,https://www.jstage.jst.go.jp/article/matertrans/60/2/60_M2018269/_pdf,W2905173412,所属確認済み（北海道大学）
2018,Plastic Deformation Behavior of Mg-Y Alloy Single Crystals Observed Using In Situ Brinell Indentation,Takahiro Mineta; Seiji Miura; Kazuhiko Oka; Tatsuya Miyajima,MATERIALS TRANSACTIONS,59,4,602-611,10.2320/matertrans.m2017336,article,19,https://www.jstage.jst.go.jp/article/matertrans/59/4/59_M2017336/_pdf,W2791093736,所属確認済み（北海道大学）
2017,"Bcc / B2 phase equilibria and phase transformation from B2 to β’ in refractory Nb-X(Pd, Rh, Ir)-Al",Takuya Yamanouchi; Seiji Miura; Munekazu Ohno; Ken‐ichi Ikeda,MRS Advances,2,25,1335-1340,10.1557/adv.2017.60,article,0,,W2573155859,所属確認済み（北海道大学）
2017,Effect of crystal orientation on incipient plasticity during nanoindentation of magnesium,Hidetoshi Somekawa; Tomohito Tsuru; Alok Singh; Seiji Miura; Christopher A. Schuh,Acta Materialia,139,,21-29,10.1016/j.actamat.2017.07.052,article,46,,W2741842256,所属確認済み（北海道大学）
2017,In-Situ Observation of Deformation Behavior on Mg Single- and Poly-Crystals by Modified Optical Indentation Microscopy,Takahiro Mineta; Seiji Miura; Kazuhiko Oka; Tatsuya Miyajima; Hiroyuki Sato,The Proceedings of the Materials and Mechanics Conference,2017,0,OS0704-OS0704,10.1299/jsmemm.2017.os0704,article,0,https://doi.org/10.1299/jsmemm.2017.os0704,W2800796973,所属確認済み（北海道大学）
2017,Influence of Atomic Size Factors on the Phase Stability of Laves Phase in Nb-Cr-Ni-Al and Nb-V-Ni-Al Phase Diagrams,Takuya Yamanouchi; Seiji Miura,MATERIALS TRANSACTIONS,59,4,546-555,10.2320/matertrans.mj201604,article,11,https://www.jstage.jst.go.jp/article/matertrans/59/4/59_MJ201604/_pdf,W2779424725,所属確認済み（北海道大学）
2017,Observation of Plastic Deformation Behavior of Mg-Y Alloy Single-Crystals by Using In-Situ Brinell Indentation,Takahiro Mineta; Seiji Miura; Kazuhiko Oka; Tatsuya Miyajima,Journal of the Japan Institute of Metals and Materials,81,4,196-205,10.2320/jinstmet.jbw201601,article,7,https://www.jstage.jst.go.jp/article/jinstmet/81/4/81_JBW201601/_pdf,W2749064637,所属確認済み（北海道大学）
2017,The evaluation of the composition dependence of fracture toughness of Al3Nb alloys by using micro-size fracture testing,Nobuhiro Matsuzaki; Ken‐ichi Ikeda; Seiji Miura; Nobuaki Sekido; Takahito Ohmura,MRS Advances,2,26,1405-1410,10.1557/adv.2017.167,article,1,,W2586687494,所属確認済み（北海道大学）
2016,Alloy design concept for bcc-T2 silicide-B2 aluminide multicomponent alloys,Seiji Miura; Takuya Yamanouchi; Nobuhiro Matsuzaki; Tomonori Soma; Ken‐ichi Ikeda,,,,,,article,0,,W2762076169,北大の共同研究者（Ikeda/Horiuchi/Kashiwaya等）が一致
2015,Evaluation of Critical Resolved Shear Stresses for Various Plastic Deformation Mechanisms To Understand Mechanical Properties of Magnesium-Yttrium Alloys,Takahiro Mineta; Seiji Miura,MRS Proceedings,1741,,,10.1557/opl.2015.178,article,10,,W2168801418,所属確認済み（北海道大学）
2015,Evaluationof fracture toughness ofalpha-Nb5Si3 by micro-sized cantilever beam testing,Shiori Suzuki; Nobuaki Sekido; Takahito Ohmura; Seiji Miura,MRS Proceedings,1760,,,10.1557/opl.2015.147,article,2,,W2167674007,所属確認済み（北海道大学）
2015,Phase equilibrium between bcc solid solution matrix and B2 aluminides in Nb-based alloy,Takuya Yamanouchi; Seiji Miura,MRS Proceedings,1760,,,10.1557/opl.2015.149,article,1,,W2109483445,所属確認済み（北海道大学）
2015,[O38] Evaluation of Phase Field Image based on CVM and Spectral analysis,Kenji Iseya; Kenshiro Mimura; Seiji Miura; Tetsuo Mohri,Calphad,51,,356-356,10.1016/j.calphad.2015.01.045,article,0,,W2225570445,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2014,A Quantitative Evaluation of Phase Field Microstructure by the Spectral Analysis,Kenji Iseya; Seiji Miura; Tetsuo Mohri,Journal of Phase Equilibria and Diffusion,35,6,788-793,10.1007/s11669-014-0338-2,article,1,,W1975639885,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2014,Effect of (Ti:B) atomic ratio on mechanical properties of TiB2–Fe composites “in situ” fabricated via Self-propagating High-temperature Synthesis,Marta Ziemnicka‐Sylwester; Gai Li; Seiji Miura,Materials & Design (1980-2015),69,,1-11,10.1016/j.matdes.2014.12.036,article,22,https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/57969/1/Marta%20Li%20Miura%20GB%20Fe-TiB2%20Ti%20S%20Rev4%20Editor%20SENT-1.pdf,W2009895859,所属確認済み（北海道大学）
2014,Effect of Alloying Elements on Nb-Rich Portion of Nb-Si-X Ternary Systems and In Situ Crack Observation of Nb-Si-Based Alloys,Seiji Miura; Toru Hatabata; Takuya Okawa; Tetsuo Mohri,Metallurgical and Materials Transactions A,45,3,1136-1147,10.1007/s11661-013-2118-8,article,9,,W1994614091,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2014,Microstructural characterization of a new mechanically alloyed Ni-base ODS superalloy powder,S.M.S. Aghamiri; Hamidreza Shahverdi; Shigeharu Ukai; Naoko Oono; Kensuke Taya; Seiji Miura; Shigenari Hayashi; T. Okuda,Materials Characterization,100,,135-142,10.1016/j.matchar.2014.12.008,article,36,,W2083117937,所属確認済み（北海道大学）
2014,Phase Equilibrium between B2 Aluminide NiAl and Nb-Mo bcc Solid Solution Phase,Seiji Miura; Yoshihito Sekito; Takuya Okawa; Takuya Yamanouchi; Tetsuo Mohri,Materials science forum,783-786,,1171-1175,10.4028/www.scientific.net/msf.783-786.1171,article,2,https://doi.org/10.4028/www.scientific.net/msf.783-786.1171,W2050266841,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
